Timestamp,Gender,Age Group ,"How many hours do you spend daily watching short-form videos (TikTok, Reels, Shorts)? ",How many times do you open short-video apps per hour? ,Have you tried to reduce your short-video usage? , Do you feel like you lose track of time once you start scrolling?,Do you find it difficult to stop watching even when you have urgent tasks?,Do you feel annoyed or bored quickly when watching long-form videos (more than 10 minutes)?,Do you use short videos as a primary way to escape from stress or boredom?,Have you noticed that your sleep quality or bedtime is affected by watching? ,Target
28/03/2026 15:35,0,1,1,1,1,1,2,1,2,2,1
28/03/2026 15:40,0,1,3,3,0,3,2,1,2,1,2
28/03/2026 15:41,0,1,3,3,2,3,3,1,3,2,2
28/03/2026 15:42,0,1,3,3,2,2,2,0,2,2,2
28/03/2026 15:44,1,3,0,0,1,2,0,1,1,2,0
28/03/2026 15:44,0,1,2,3,0,2,1,0,1,1,1
28/03/2026 15:45,0,1,2,3,2,3,1,1,2,2,2
28/03/2026 15:46,0,2,1,3,0,2,1,1,3,2,2
28/03/2026 15:50,0,1,2,1,1,1,0,1,0,1,0
28/03/2026 15:50,0,1,1,1,1,3,3,1,2,0,2
28/03/2026 15:50,0,1,3,3,2,2,2,0,3,1,2
28/03/2026 15:52,0,3,1,0,0,1,1,1,1,1,0
28/03/2026 15:52,0,2,1,3,1,2,0,0,1,1,1
28/03/2026 15:52,0,1,1,1,1,2,2,1,3,1,2
28/03/2026 15:53,0,3,3,1,0,0,0,1,1,0,0
28/03/2026 15:57,0,1,2,0,2,3,2,1,3,2,2
28/03/2026 15:57,0,1,0,0,0,0,0,0,1,0,0
28/03/2026 15:58,0,3,1,2,2,2,1,1,1,1,1
28/03/2026 16:01,0,1,2,2,1,2,1,0,2,2,2
28/03/2026 16:05,0,3,1,1,0,1,1,1,1,0,0
28/03/2026 16:06,0,1,1,1,0,2,0,1,2,1,1
28/03/2026 16:15,0,1,3,1,1,2,1,0,1,0,1
28/03/2026 16:18,0,1,2,2,2,1,2,1,0,0,1
28/03/2026 16:19,0,3,0,0,1,3,0,1,0,1,0
28/03/2026 16:21,0,2,2,3,0,3,2,1,3,1,2
28/03/2026 16:26,0,1,2,2,2,2,1,1,3,0,2
28/03/2026 16:29,0,1,1,1,1,1,1,1,3,1,1
28/03/2026 16:30,0,3,1,0,0,1,1,1,1,2,0
28/03/2026 16:31,0,1,2,1,1,3,0,0,2,2,1
28/03/2026 16:43,0,1,1,2,2,3,2,0,3,2,2
28/03/2026 16:45,0,1,3,3,2,0,0,0,3,2,2
28/03/2026 16:47,1,0,1,3,2,1,1,1,0,1,1
28/03/2026 16:51,1,1,1,1,2,1,1,1,1,1,1
28/03/2026 16:51,0,1,3,3,2,1,1,1,1,2,2
28/03/2026 16:53,1,3,1,1,0,1,2,1,2,1,1
28/03/2026 16:54,0,1,1,0,0,1,1,0,1,2,0
28/03/2026 16:54,1,3,0,1,1,0,1,1,0,2,0
28/03/2026 17:02,0,1,3,3,0,1,0,1,1,1,1
28/03/2026 17:05,0,1,3,3,2,3,3,1,2,2,2
28/03/2026 17:08,1,3,2,2,0,1,0,1,1,1,1
28/03/2026 17:10,0,1,3,3,2,1,2,1,1,2,2
